"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-COPD-HRRP,154,,0.9463,17.7880,18.7982,24,07/01/2020,06/30/2023
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-HF-HRRP,508,,0.9666,19.1704,19.8318,95,07/01/2020,06/30/2023
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-AMI-HRRP,315,,0.9704,11.8750,12.2373,36,07/01/2020,06/30/2023
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-CABG-HRRP,91,,1.0846,12.3902,11.4233,14,07/01/2020,06/30/2023
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-PN-HRRP,621,,1.0112,16.7862,16.6008,105,07/01/2020,06/30/2023
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9762,4.7872,4.9039,Too Few to Report,07/01/2020,06/30/2023
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-COPD-HRRP,N/A,,1.0277,17.8169,17.3362,Too Few to Report,07/01/2020,06/30/2023
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-HF-HRRP,35,,1.0674,21.0944,19.7621,12,07/01/2020,06/30/2023
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9695,4.2361,4.3694,Too Few to Report,07/01/2020,06/30/2023
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-PN-HRRP,85,,1.0488,16.2187,15.4636,17,07/01/2020,06/30/2023
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ST. VINCENT'S EAST,010011,AL,READM-30-COPD-HRRP,58,,1.0120,17.7252,17.5152,11,07/01/2020,06/30/2023
ST. VINCENT'S EAST,010011,AL,READM-30-AMI-HRRP,148,,0.9675,11.8541,12.2521,16,07/01/2020,06/30/2023
ST. VINCENT'S EAST,010011,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9541,5.0175,5.2587,Too Few to Report,07/01/2020,06/30/2023
ST. VINCENT'S EAST,010011,AL,READM-30-PN-HRRP,344,,1.0589,17.1812,16.2255,63,07/01/2020,06/30/2023
ST. VINCENT'S EAST,010011,AL,READM-30-HF-HRRP,295,,1.0439,20.3295,19.4740,63,07/01/2020,06/30/2023
ST. VINCENT'S EAST,010011,AL,READM-30-CABG-HRRP,70,,1.1146,11.9953,10.7622,12,07/01/2020,06/30/2023
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9055,3.5711,3.9437,Too Few to Report,07/01/2020,06/30/2023
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-HF-HRRP,84,,1.0505,19.7116,18.7646,20,07/01/2020,06/30/2023
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-PN-HRRP,160,,0.9685,13.8098,14.2595,20,07/01/2020,06/30/2023
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-COPD-HRRP,N/A,,1.0044,13.3991,13.3406,Too Few to Report,07/01/2020,06/30/2023
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-AMI-HRRP,N/A,,1.0125,11.2791,11.1395,Too Few to Report,07/01/2020,06/30/2023
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-PN-HRRP,214,,1.0434,17.3446,16.6237,40,07/01/2020,06/30/2023
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-CABG-HRRP,N/A,,1.0792,12.1319,11.2418,Too Few to Report,07/01/2020,06/30/2023
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-COPD-HRRP,N/A,,0.9794,19.4001,19.8080,Too Few to Report,07/01/2020,06/30/2023
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.1477,5.9146,5.1535,Too Few to Report,07/01/2020,06/30/2023
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-HF-HRRP,229,,1.0005,20.5099,20.5005,47,07/01/2020,06/30/2023
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-AMI-HRRP,77,,1.0186,14.4337,14.1707,12,07/01/2020,06/30/2023
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
HELEN KELLER HOSPITAL,010019,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9039,3.0913,3.4198,Too Few to Report,07/01/2020,06/30/2023
HELEN KELLER HOSPITAL,010019,AL,READM-30-HF-HRRP,254,,0.9294,17.7522,19.1001,40,07/01/2020,06/30/2023
HELEN KELLER HOSPITAL,010019,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
HELEN KELLER HOSPITAL,010019,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
HELEN KELLER HOSPITAL,010019,AL,READM-30-COPD-HRRP,162,,1.0188,17.2095,16.8912,29,07/01/2020,06/30/2023
HELEN KELLER HOSPITAL,010019,AL,READM-30-PN-HRRP,236,,1.0441,15.3127,14.6665,39,07/01/2020,06/30/2023
DALE MEDICAL CENTER,010021,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
DALE MEDICAL CENTER,010021,AL,READM-30-COPD-HRRP,N/A,,0.9912,17.8648,18.0228,Too Few to Report,07/01/2020,06/30/2023
DALE MEDICAL CENTER,010021,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
DALE MEDICAL CENTER,010021,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
DALE MEDICAL CENTER,010021,AL,READM-30-PN-HRRP,65,,1.0580,15.7295,14.8668,14,07/01/2020,06/30/2023
DALE MEDICAL CENTER,010021,AL,READM-30-HF-HRRP,34,,1.0522,21.5293,20.4608,11,07/01/2020,06/30/2023
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,READM-30-PN-HRRP,N/A,,0.9728,14.0753,14.4685,Too Few to Report,07/01/2020,06/30/2023
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-HF-HRRP,305,,1.0380,21.0958,20.3240,67,07/01/2020,06/30/2023
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-CABG-HRRP,N/A,,1.1302,11.7520,10.3983,Too Few to Report,07/01/2020,06/30/2023
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-PN-HRRP,146,,1.0023,17.0171,16.9786,25,07/01/2020,06/30/2023
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-COPD-HRRP,70,,0.9825,18.7156,19.0490,12,07/01/2020,06/30/2023
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0708,5.3868,5.0306,Too Few to Report,07/01/2020,06/30/2023
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-AMI-HRRP,194,,1.0485,14.2860,13.6247,30,07/01/2020,06/30/2023
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-PN-HRRP,233,,1.0422,17.2334,16.5361,43,07/01/2020,06/30/2023
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-CABG-HRRP,N/A,,0.9257,10.5183,11.3627,Too Few to Report,07/01/2020,06/30/2023
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-HF-HRRP,325,,1.0036,19.3075,19.2384,63,07/01/2020,06/30/2023
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-COPD-HRRP,79,,0.9693,17.6207,18.1793,12,07/01/2020,06/30/2023
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-AMI-HRRP,146,,0.9784,14.4231,14.7409,20,07/01/2020,06/30/2023
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-PN-HRRP,N/A,,0.9050,13.3222,14.7207,Too Few to Report,07/01/2020,06/30/2023
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-HF-HRRP,179,,1.0648,19.9011,18.6901,40,07/01/2020,06/30/2023
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-COPD-HRRP,N/A,,0.9654,18.7893,19.4632,Too Few to Report,07/01/2020,06/30/2023
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-AMI-HRRP,66,,1.0742,11.6920,10.8840,11,07/01/2020,06/30/2023
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-CABG-HRRP,N/A,,1.0358,10.1365,9.7862,Too Few to Report,07/01/2020,06/30/2023
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-HIP-KNEE-HRRP,284,,0.9304,4.1957,4.5094,11,07/01/2020,06/30/2023
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-PN-HRRP,365,,1.1073,18.0778,16.3256,73,07/01/2020,06/30/2023
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-COPD-HRRP,154,,0.9857,19.4171,19.6981,29,07/01/2020,06/30/2023
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-CABG-HRRP,353,,1.0866,12.5237,11.5254,47,07/01/2020,06/30/2023
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-AMI-HRRP,289,,1.1000,15.6982,14.2709,50,07/01/2020,06/30/2023
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.1250,9.5878,8.5228,Too Few to Report,07/01/2020,06/30/2023
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-HF-HRRP,675,,0.9451,18.8084,19.9019,123,07/01/2020,06/30/2023
COMMUNITY HOSPITAL INC,010034,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
COMMUNITY HOSPITAL INC,010034,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
COMMUNITY HOSPITAL INC,010034,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
COMMUNITY HOSPITAL INC,010034,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
COMMUNITY HOSPITAL INC,010034,AL,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
COMMUNITY HOSPITAL INC,010034,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0057,4.5902,4.5641,Too Few to Report,07/01/2020,06/30/2023
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-HF-HRRP,367,,1.0180,18.7366,18.4048,70,07/01/2020,06/30/2023
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-AMI-HRRP,N/A,,0.9979,12.4436,12.4695,Too Few to Report,07/01/2020,06/30/2023
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-PN-HRRP,417,,1.0465,15.5805,14.8880,68,07/01/2020,06/30/2023
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-COPD-HRRP,120,,1.0458,18.5561,17.7427,25,07/01/2020,06/30/2023
ANDALUSIA HEALTH,010036,AL,READM-30-PN-HRRP,144,,1.0138,16.0281,15.8097,24,07/01/2020,06/30/2023
ANDALUSIA HEALTH,010036,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ANDALUSIA HEALTH,010036,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.2033,5.9589,4.9522,Too Few to Report,07/01/2020,06/30/2023
ANDALUSIA HEALTH,010036,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
ANDALUSIA HEALTH,010036,AL,READM-30-HF-HRRP,159,,1.0267,22.0685,21.4955,37,07/01/2020,06/30/2023
ANDALUSIA HEALTH,010036,AL,READM-30-COPD-HRRP,N/A,,0.9661,20.3127,21.0259,Too Few to Report,07/01/2020,06/30/2023
HUNTSVILLE HOSPITAL,010039,AL,READM-30-CABG-HRRP,267,,0.8656,8.4711,9.7862,18,07/01/2020,06/30/2023
HUNTSVILLE HOSPITAL,010039,AL,READM-30-HIP-KNEE-HRRP,168,,1.2959,6.3147,4.8727,14,07/01/2020,06/30/2023
HUNTSVILLE HOSPITAL,010039,AL,READM-30-AMI-HRRP,624,,0.9251,10.9967,11.8866,65,07/01/2020,06/30/2023
HUNTSVILLE HOSPITAL,010039,AL,READM-30-COPD-HRRP,426,,1.0004,17.3653,17.3585,74,07/01/2020,06/30/2023
HUNTSVILLE HOSPITAL,010039,AL,READM-30-PN-HRRP,1340,,0.9728,15.0627,15.4836,200,07/01/2020,06/30/2023
HUNTSVILLE HOSPITAL,010039,AL,READM-30-HF-HRRP,1270,,0.9752,19.1150,19.6017,241,07/01/2020,06/30/2023
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-PN-HRRP,235,,0.9714,16.5879,17.0766,37,07/01/2020,06/30/2023
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-AMI-HRRP,132,,0.9817,13.5491,13.8013,17,07/01/2020,06/30/2023
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-HF-HRRP,235,,0.9818,21.4155,21.8117,49,07/01/2020,06/30/2023
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-CABG-HRRP,N/A,,1.0777,11.6737,10.8319,Too Few to Report,07/01/2020,06/30/2023
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-COPD-HRRP,97,,0.9886,18.2568,18.4675,17,07/01/2020,06/30/2023
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0242,6.1477,6.0027,Too Few to Report,07/01/2020,06/30/2023
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-HF-HRRP,N/A,,0.9562,17.2586,18.0484,Too Few to Report,07/01/2020,06/30/2023
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-PN-HRRP,N/A,,0.9492,14.5598,15.3390,Too Few to Report,07/01/2020,06/30/2023
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
FAYETTE MEDICAL CENTER,010045,AL,READM-30-HF-HRRP,N/A,,0.9855,16.3397,16.5804,Too Few to Report,07/01/2020,06/30/2023
FAYETTE MEDICAL CENTER,010045,AL,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
FAYETTE MEDICAL CENTER,010045,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
FAYETTE MEDICAL CENTER,010045,AL,READM-30-PN-HRRP,N/A,,0.9883,13.2847,13.4426,Too Few to Report,07/01/2020,06/30/2023
FAYETTE MEDICAL CENTER,010045,AL,READM-30-COPD-HRRP,N/A,,1.0488,16.6064,15.8337,Too Few to Report,07/01/2020,06/30/2023
FAYETTE MEDICAL CENTER,010045,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-HF-HRRP,284,,1.0925,24.1014,22.0606,75,07/01/2020,06/30/2023
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-COPD-HRRP,103,,1.0480,19.5145,18.6208,23,07/01/2020,06/30/2023
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-AMI-HRRP,N/A,,0.9659,14.4405,14.9503,Too Few to Report,07/01/2020,06/30/2023
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-PN-HRRP,277,,1.0904,18.7699,17.2133,58,07/01/2020,06/30/2023
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-HF-HRRP,102,,1.0285,18.6980,18.1807,21,07/01/2020,06/30/2023
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.8900,3.7537,4.2178,Too Few to Report,07/01/2020,06/30/2023
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-PN-HRRP,152,,1.0465,15.1301,14.4573,26,07/01/2020,06/30/2023
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-COPD-HRRP,59,,1.0438,17.6314,16.8909,13,07/01/2020,06/30/2023
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
GREENE COUNTY HOSPITAL,010051,AL,READM-30-PN-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
GREENE COUNTY HOSPITAL,010051,AL,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
GREENE COUNTY HOSPITAL,010051,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
GREENE COUNTY HOSPITAL,010051,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
GREENE COUNTY HOSPITAL,010051,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
GREENE COUNTY HOSPITAL,010051,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-PN-HRRP,N/A,,1.0435,16.5639,15.8735,Too Few to Report,07/01/2020,06/30/2023
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
FLOWERS HOSPITAL,010055,AL,READM-30-PN-HRRP,305,,1.0004,15.4020,15.3965,47,07/01/2020,06/30/2023
FLOWERS HOSPITAL,010055,AL,READM-30-CABG-HRRP,84,,1.1755,12.6626,10.7725,16,07/01/2020,06/30/2023
FLOWERS HOSPITAL,010055,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.2633,5.6766,4.4937,Too Few to Report,07/01/2020,06/30/2023
FLOWERS HOSPITAL,010055,AL,READM-30-COPD-HRRP,126,,0.9486,18.4986,19.5012,20,07/01/2020,06/30/2023
FLOWERS HOSPITAL,010055,AL,READM-30-HF-HRRP,325,,0.9641,18.3209,19.0039,57,07/01/2020,06/30/2023
FLOWERS HOSPITAL,010055,AL,READM-30-AMI-HRRP,263,,1.0867,12.9663,11.9315,38,07/01/2020,06/30/2023
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-AMI-HRRP,150,,1.0215,12.6646,12.3975,20,07/01/2020,06/30/2023
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-PN-HRRP,405,,1.0370,16.1856,15.6080,68,07/01/2020,06/30/2023
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-CABG-HRRP,96,,1.1313,12.3784,10.9421,16,07/01/2020,06/30/2023
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9213,4.3789,4.7531,Too Few to Report,07/01/2020,06/30/2023
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-COPD-HRRP,82,,0.9772,16.3394,16.7206,12,07/01/2020,06/30/2023
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-HF-HRRP,439,,0.9489,18.6041,19.6050,78,07/01/2020,06/30/2023
BIBB MEDICAL CENTER,010058,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
BIBB MEDICAL CENTER,010058,AL,READM-30-PN-HRRP,N/A,,0.9402,13.8224,14.7021,Too Few to Report,07/01/2020,06/30/2023
BIBB MEDICAL CENTER,010058,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
BIBB MEDICAL CENTER,010058,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
BIBB MEDICAL CENTER,010058,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
BIBB MEDICAL CENTER,010058,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2020,06/30/2023
